Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%),Water Scarcity Level
Argentina,2000,481.49,235.4314286,48.55,20.84428571,30.1,1288.698571,3.255714286,Moderate
Argentina,2001,455.063,299.551,48.465,26.943,22.55,1371.729,3.12,Moderate
Argentina,2002,482.7492308,340.1246154,50.37538462,29.04230769,23.34923077,1590.305385,2.733846154,Moderate
Argentina,2003,452.66,326.7566667,49.08666667,30.476,24.44,1816.012667,2.708,Moderate
Argentina,2004,634.566,230.346,38.67,36.67,23.924,815.998,1.902,Moderate
Argentina,2005,458.077,265.012,59.834,29.288,22.649,1826.293,2.724,Moderate
Argentina,2006,452.9833333,111.7083333,54.96166667,29.79166667,28.83166667,1318.923333,3.133333333,Moderate
Argentina,2007,691.1025,192.815,41.655,16.705,20.31,1500.8375,3.5,Moderate
Argentina,2008,494.048,230.443,60.323,24.483,24.21,1378.952,3.006,Moderate
Argentina,2009,637.8783333,230.6816667,54.91666667,29.05166667,21.21166667,1141.906667,2.356666667,Moderate
Argentina,2010,502.875,216.807,49.325,23.932,25.208,1496.221,2.671,Moderate
Argentina,2011,535.336875,317.69375,44.3875,29.1575,22.778125,1814.865625,2.955625,Moderate
Argentina,2012,556.4116667,248.72,60.31166667,31.94166667,23.425,1428.521667,2.563333333,Moderate
Argentina,2013,505.6286667,265.718,48.59933333,32.004,26.01466667,1375.516,3.154,Moderate
Argentina,2014,558.1611111,314.2377778,50.90888889,24.63111111,25.77444444,1912.69,2.444444444,Moderate
Argentina,2015,565.115,288.1383333,49.5,22.815,28.52666667,1782.6,2.616666667,Moderate
Argentina,2016,467.3180952,322.0538095,49.36190476,28.40238095,22.30761905,1730.01,2.642857143,Moderate
Argentina,2017,477.1978947,265.23,56.49263158,29.68,24.35473684,1665.009474,2.666315789,Moderate
Argentina,2018,649.13,281.832,54.83,21.261,25.314,1449.102,2.264,Moderate
Argentina,2019,484.1566667,268.4022222,55.63555556,34.48444444,26.71888889,1630.764444,2.208888889,Moderate
Argentina,2020,582.008,289.554,66.52,28.876,29.846,1455.684,2.092,Moderate
Argentina,2021,432.4683333,260.575,52.6775,29.44083333,22.13,2076.763333,2.673333333,Moderate
Argentina,2022,523.8810526,296.7405263,48.51842105,28.50631579,28.09473684,1160.576316,3.015789474,Moderate
Argentina,2023,556.765,265.325,40.842,26.099,29.272,1701.795,2.13,Moderate
Argentina,2024,647.79,364.3828571,51.20142857,34.14285714,23.52285714,2283.157143,2.285714286,Low
Australia,2000,545.04,296.13,54.66375,32.665,21.75625,1549.73125,2.36625,Moderate
Australia,2001,448.229,247.556,46.922,23.326,26.132,1554.3,2.698,Moderate
Australia,2002,488.0033333,236.6966667,58.88666667,25.145,26.34166667,1457.325,2.206666667,Moderate
Australia,2003,540.81,275.3416667,48.9825,32.625,23.8275,1721.613333,3.324166667,Moderate
Australia,2004,503.8664286,261.0157143,51.07142857,27.65071429,26.55857143,1931.437143,2.214285714,Moderate
Australia,2005,503.61,255.9045455,53.11545455,30.74727273,22.64363636,1392.708182,2.252727273,Moderate
Australia,2006,438.3757143,279.7478571,48.02642857,32.05928571,26.485,1300.371429,2.282857143,Moderate
Australia,2007,376.92375,228.62125,53.56125,27.13625,29.6725,1529.41,3.19875,Moderate
Australia,2008,511.38,238.47,55.68461538,23.33230769,26.02846154,1611.926923,2.011538462,Moderate
Australia,2009,442.79875,258.61625,47.38875,25.6975,26.46625,980.3125,2.75375,Moderate
Australia,2010,556.146,235.882,43.208,25.952,27.277,1605.123,3.443,Moderate
Australia,2011,467.7744444,281.5111111,52.68222222,30.69777778,22.74777778,1955.788889,2.916666667,Moderate
Australia,2012,498.1664706,265.8988235,55.87176471,26.75352941,24.42,1286.410588,2.429411765,Moderate
Australia,2013,426.5841667,258.6558333,53.82833333,32.01416667,20.19083333,1619.6325,2.85,Moderate
Australia,2014,538.1064286,290.0314286,60.51285714,28.47571429,22.62214286,1414.902857,2.522857143,Moderate
Australia,2015,521.4066667,286.9333333,65.12444444,32.24444444,24.15111111,1394.204444,3.284444444,Moderate
Australia,2016,446.722,261.3993333,59.50533333,25.97133333,23.10933333,1370.126,2.992,Moderate
Australia,2017,626.71625,314.8475,55.92,31.86375,24.64375,1009.385,2.37375,Low
Australia,2018,603.2993333,288.7166667,56.09066667,34.11,25.41866667,1299.113333,2.625333333,Moderate
Australia,2019,548.0716667,299.96,40.895,24.34,21.91833333,1457.06,2.598333333,Moderate
Australia,2020,484.79875,292.505,48.47375,23.68,27.54625,1549.61875,2.38,Moderate
Australia,2021,659.4511111,288.9488889,41.39111111,25.62333333,26.46444444,1640.824444,2.012222222,Moderate
Australia,2022,477.698125,298.385,53.025625,25.974375,25.078125,1411.735625,2.84875,Moderate
Australia,2023,207.795,322.3866667,59.68833333,40.56833333,30.145,1297.586667,2.51,Low
Australia,2024,644.005,253.959,55.513,29.457,26.868,1535.133,1.656,Moderate
Brazil,2000,535.3028571,254.0585714,48.39285714,21.06285714,25.73428571,1835.337143,2.567142857,Moderate
Brazil,2001,639.0090909,200.5309091,54.66181818,34.16727273,21.84545455,1524.764545,2.799090909,Moderate
Brazil,2002,433.875,286.586,54.407,24.681,23.399,2000.491,2.383,Moderate
Brazil,2003,613.36,346.6015385,55.85,30.47230769,27.44769231,1511.286923,2.877692308,Low
Brazil,2004,511.8836364,248.6281818,51.44727273,32.37363636,22.47090909,1641.064545,2.613636364,Moderate
Brazil,2005,560.6266667,274.1866667,47.74222222,26.63222222,19.81555556,1706.97,2.675555556,Moderate
Brazil,2006,781.3428571,236.87,50.32571429,36.27,27.44428571,1818.135714,2.331428571,Moderate
Brazil,2007,642.8583333,285.6816667,52.52,26.15333333,17.37666667,1863.853333,2.211666667,Moderate
Brazil,2008,665.5016667,273.875,42.34,28.61333333,23.34333333,1356.306667,2.853333333,Moderate
Brazil,2009,498.7066667,278.9455556,53.11,27.85666667,26.01222222,1459.541111,2.817777778,Moderate
